ID,TEXT,ANN1,ANN2,ANN1 (sv),ANN2 (sv)
song2-30,But if you could heal a broken heart,trust,anticipation,nosadness,nosadness
song2-31,Wouldn't time be out to charm you,trust,surprise,nosadness,nosadness
song2-32,Sometimes I need some time...on my,trust,sadness,nosadness,sadness
song2-33,own,trust,NULL,nosadness,nosadness
song2-34,Sometimes I need some time...all alone,trust,sadness,nosadness,sadness
song2-35,Everybody needs some time...,trust,anticipation,nosadness,nosadness
song2-36,on their own,trust,sadness,nosadness,sadness
song2-37,Don't you know you need some time...all alone,trust,sadness,nosadness,sadness
song2-38,And when your fears subside,anticipation,trust,nosadness,nosadness
song2-39,And shadows still remain,anticipation,sadness,nosadness,sadness
song2-40,I know that you can love me,trust,trust,nosadness,nosadness
song2-41,When there's no one left to blame,trust,anticipation,nosadness,nosadness
song2-42,So never mind the darkness,trust,joy,nosadness,nosadness
song2-43,We still can find a way,trust,trust,nosadness,nosadness
song2-44,Cause nothin' lasts forever,trust,fear,nosadness,nosadness
song2-45,Even cold November rain,trust,anticipation,nosadness,nosadness
song2-46,Don't ya think that you need somebody,trust,anticipation,nosadness,nosadness
song2-47,Don't ya think that you need someone,trust,anticipation,nosadness,nosadness
song2-48,Everybody needs somebody,trust,trust,nosadness,nosadness
song2-49,You're not the only one,trust,trust,nosadness,nosadness
song2-50,You're not the only one,trust,trust,nosadness,nosadness
song3-1,"My radio, believe me, I like it loud",joy,trust,nosadness,nosadness
song3-2,I'm the man with a box that can rock the crowd,joy,trust,nosadness,nosadness
song3-3,"Walkin' down the street, to the hardcore beat",joy,joy,nosadness,nosadness
song3-4,While my JVC vibrates the concrete,joy,joy,nosadness,nosadness
song3-5,I'm sorry if you can't understand,trust,disgust,nosadness,nosadness
song3-6,But I need a radio inside my hand,trust,joy,nosadness,nosadness
song3-7,Don't mean to offend other citizens,joy,trust,nosadness,nosadness
song3-8,But I kick my volume way past 10,joy,joy,nosadness,nosadness
song3-9,"My story is rough, my neighbourhood is tough",sadness,sadness,sadness,nosadness
song3-10,"But I still sport gold, and I'm out to crush",joy,trust,nosadness,nosadness
song3-11,"My name is Cool J, I devastate the show",joy,trust,nosadness,nosadness
song3-12,But I couldn't survive without my radio,trust,sadness,nosadness,nosadness
song3-13,Terrorising my neighbours with the heavy bass,joy,anger,nosadness,nosadness
song3-14,I keep the suckas in fear by the look on my face,joy,anger,nosadness,nosadness
song3-15,My radio's bad from the Boulevard,trust,trust,nosadness,nosadness
song3-16,I'm a hip-hop gangster and my name is Todd,trust,trust,nosadness,nosadness
song3-17,"Just stimulated by the beat, bust out the rhyme",joy,joy,nosadness,nosadness
song3-18,Get fresh batteries if it won't rewind,trust,joy,nosadness,nosadness
song3-19,"Cos I play everyday, even on the subway",joy,joy,nosadness,nosadness
song3-20,I woulda got a summons but I ran away,fear,joy,nosadness,nosadness
song3-21,"I'm the leader of the show, keepin' you on the go",trust,trust,nosadness,nosadness
song3-22,But I know I can't live without my radio,trust,sadness,nosadness,nosadness
song3-23,Suckas on my jock when I walk down the block,joy,trust,nosadness,nosadness
song3-24,I really don't care if you're jealous or not,trust,trust,nosadness,nosadness
song3-25,"Cos I make the songs, you sing along",trust,trust,nosadness,nosadness
song3-26,And your radio's def when my record's on,trust,trust,nosadness,nosadness
song3-27,"So get off the wall, become involved",trust,joy,nosadness,nosadness
song3-28,All your radio problems have now been solved,trust,trust,nosadness,nosadness
song3-29,My treacherous beats make ya ears respond,joy,trust,nosadness,nosadness
song3-30,And my radio's loud like a fire alarm,joy,trust,nosadness,nosadness
song3-31,"The floor vibrates, the walls cave in",joy,disgust,nosadness,nosadness
song3-32,The bass makes my eardrums seem thin,joy,disgust,nosadness,nosadness
song3-33,"Def sounds in my ride, yes the front and back",joy,joy,nosadness,nosadness
song3-34,"You would think it was a party, not a Cadillac",joy,joy,nosadness,nosadness
song3-35,"Cos I drive up to the ave, with the windows closed",trust,joy,nosadness,nosadness
song3-36,"And my bass is so loud, it could rip your clothes",trust,joy,nosadness,nosadness
song3-37,My stereo's thumpin' like a savage beast,joy,joy,nosadness,nosadness
song3-38,The level on my power meter will not decrease,joy,trust,nosadness,nosadness
song3-39,"Suckas get mad, cos the girlies scream",joy,trust,nosadness,nosadness
song3-40,And I'm still gettin' paid while you look at me mean,joy,trust,nosadness,nosadness
song3-41,"I'm the leader of the show, keepin' you on the go",trust,trust,nosadness,nosadness
song3-42,But I know I can't live without my radio,trust,sadness,nosadness,nosadness
song3-43,"I'm the leader of the show, keepin' you on the go",trust,trust,nosadness,nosadness
song3-44,And I know I can't live without my radio,trust,sadness,nosadness,nosadness
song3-45,"Don't touch that dial, I'll be upset",anger,anger,nosadness,nosadness
song3-46,Might go into a fit and rip off your neck,anger,anger,nosadness,nosadness
song3-47,Cos the radio's thumpin' when I'm down to play,trust,anger,nosadness,nosadness
song3-48,I'm the royal chief rocker LL Cool J,trust,trust,nosadness,nosadness
song3-49,Let your big butt bounce from right to left,joy,joy,nosadness,nosadness
song3-50,Cos it's a actual fact this jam is def,trust,joy,nosadness,nosadness
song3-51,Most definitely created by me,trust,trust,nosadness,nosadness
song3-52,Goin' down in radio history,trust,trust,nosadness,nosadness
song3-53,I'm good to go on your radio,trust,trust,nosadness,nosadness
song3-54,And I'm cold gettin' paid cos Rick said so,joy,trust,nosadness,nosadness
song3-55,Make the woofers wallop and your tweeters twitch,joy,trust,nosadness,nosadness
song3-56,Some jealous knuckleheads might try to dis,disgust,disgust,nosadness,nosadness
song3-57,"But it's nuthin', ya frontin', ya girl I am stuntin'",trust,trust,nosadness,nosadness
song3-58,And my radio's loud enough to keep you gruntin',trust,trust,nosadness,nosadness
song3-59,"My name is Cool J, I'm from the rock",trust,trust,nosadness,nosadness
song3-60,Circulating through your radio non-stop,trust,trust,nosadness,nosadness
song3-61,I'm lookin' at the wires behind the cassette,trust,trust,nosadness,nosadness
song3-62,"And now I'm on the right, standing on the eject",trust,trust,nosadness,nosadness
song3-63,"Wearin' light blue Pumas, a whole lotta gold",trust,trust,nosadness,nosadness
song3-64,And jams like these keep me in control,trust,trust,nosadness,nosadness
song3-65,"I'm the leader of the show, keepin' you on the go",trust,trust,nosadness,nosadness
song3-66,And I know I can't live without my radio,trust,sadness,nosadness,nosadness
song3-67,Your energy level starts to increase,joy,joy,nosadness,nosadness
song3-68,As my big beat is slowly released,joy,joy,nosadness,nosadness
song3-69,I'm on the radio and at the jam,trust,joy,nosadness,nosadness
song3-70,LL Cool J is who I am,trust,joy,nosadness,nosadness
song3-71,"Imma make ya dance, boogie down and rock",joy,joy,nosadness,nosadness
song3-72,And you'll scratch and shake to my musical plot,joy,joy,nosadness,nosadness
song3-73,And to expand my musical plan,trust,joy,nosadness,nosadness
song3-74,"Cut Creator, rock the beat with your hands",trust,joy,nosadness,nosadness
song3-75,"That's right, so don't try to front the move",anticipation,trust,nosadness,nosadness
song3-76,As you become motivated by the funky groove,anticipation,joy,nosadness,nosadness
song3-77,You can see me and Earl chillin' on the block,joy,trust,nosadness,nosadness
song3-78,With my box cold kickin' with the gangster rock,joy,joy,nosadness,nosadness
song3-79,"See people can't stop me, neither can the police",trust,trust,nosadness,nosadness
song3-80,I'm a musical maniac to say the least,joy,trust,nosadness,nosadness
song3-81,For you and your radio I made this for,trust,joy,nosadness,nosadness
song3-82,Cool J's here to devastate once more,trust,trust,nosadness,nosadness
song3-83,"Pullin' all the girls, takin' out MCs",trust,trust,nosadness,nosadness
song3-84,"If ya try to disrespect me, I just say Please!",trust,trust,nosadness,nosadness
song3-85,Here to command the hip-hop land,trust,trust,nosadness,nosadness
song3-86,Kick it live with a box inside my hand,joy,trust,nosadness,nosadness
song3-87,"I'm the leader of the show, keepin' you on the go",trust,joy,nosadness,nosadness
song3-88,But I know I can't live without my radio,trust,sadness,nosadness,nosadness
song3-89,"Farmers Boulevard, yeah, you know that's where me and E hang out, cool",joy,joy,nosadness,nosadness
song3-90,"out, you know what I'm sayin' That's where the crib's at.",joy,joy,nosadness,nosadness
song4-1,We're talking away,sadness,sadness,sadness,sadness
song4-2,I don't know what,sadness,sadness,sadness,sadness
song4-3,I'm to say I'll say it anyway,sadness,sadness,sadness,sadness
song4-4,Today's another day to find you,sadness,sadness,sadness,sadness
song4-5,Shying away,sadness,sadness,sadness,sadness
song4-6,"I'll be coming for your love, OK",trust,anticipation,nosadness,nosadness
song4-7,"Take on me, take me on",trust,anticipation,nosadness,nosadness
song4-8,I'll be gone,anticipation,anticipation,nosadness,nosadness
song4-9,In a day or two,anticipation,anticipation,nosadness,nosadness
song4-10,So needless to say,sadness,sadness,sadness,sadness
song4-11,I'm odds and ends,sadness,sadness,sadness,sadness
song4-12,But that's me stumbling away,trust,sadness,nosadness,sadness
song4-13,Slowly learning that life is OK.,trust,sadness,nosadness,sadness
song4-14,Say after me,trust,sadness,nosadness,sadness
song4-15,It's no better to be safe than sorry,trust,sadness,nosadness,sadness
song4-16,"Take on me, take me on",trust,anticipation,nosadness,nosadness
song4-17,I'll be gone,anticipation,anticipation,nosadness,nosadness
song4-18,In a day or two,anticipation,anticipation,nosadness,nosadness
song4-19,Oh the things that you say,joy,sadness,nosadness,sadness
song4-20,Is it life or,joy,sadness,nosadness,sadness
song4-21,Just a play my worries away,joy,sadness,nosadness,sadness
song4-22,You're all the things I've got to,joy,sadness,nosadness,sadness
song4-23,remember,joy,sadness,nosadness,sadness
song4-24,You're shying away,sadness,sadness,sadness,sadness
song4-25,I'll be coming for you anyway,trust,anticipation,nosadness,nosadness
song4-26,"Take on me, take me on",trust,anticipation,nosadness,nosadness
song4-27,I'll be gone,anticipation,anticipation,nosadness,nosadness
song4-28,In a day or two,anticipation,anticipation,nosadness,nosadness
song5-1,I got my head checked,joy,sadness,nosadness,sadness
song5-2,By a jumbo jet,joy,sadness,nosadness,sadness
song5-3,It wasn't easy,trust,sadness,nosadness,sadness
song5-4,"But nothing is, no",trust,sadness,nosadness,sadness
song5-5,Whoo hoo!,joy,joy,nosadness,nosadness
song5-6,Well I feel heavy metal,joy,joy,nosadness,nosadness
song5-7,Whoo hoo!,joy,joy,nosadness,nosadness
song5-8,And I'm pins and I'm needles,joy,joy,nosadness,nosadness
song5-9,Whoo hoo!,joy,joy,nosadness,nosadness
song5-10,Well I lie and I'm easy,joy,disgust,nosadness,nosadness
song5-11,All of the time and I'm never sure why I need you,joy,disgust,nosadness,nosadness
song5-12,Pleased to meet ya,joy,joy,nosadness,nosadness
song5-13,I got my head done,joy,sadness,nosadness,sadness
song5-14,When I was young,joy,sadness,nosadness,sadness
song5-15,It's not my problem,joy,disgust,nosadness,nosadness
song5-16,It's not my problem,joy,disgust,nosadness,nosadness
song5-17,Whoo hoo!,joy,joy,nosadness,nosadness
song5-18,Well I feel heavy metal,joy,joy,nosadness,nosadness
song5-19,Whoo hoo!,joy,joy,nosadness,nosadness
song5-20,And I'm pins and I'm needles,joy,joy,nosadness,nosadness
song5-21,Whoo hoo!,joy,joy,nosadness,nosadness
song5-22,Well I lie and I'm easy,joy,disgust,nosadness,nosadness
song5-23,All of the time and I'm never sure why I need you,joy,disgust,nosadness,nosadness
song5-24,Pleased to meet ya,joy,joy,nosadness,nosadness
song5-25,"Yeah, yeah",joy,NULL,nosadness,nosadness
song5-26,"Yeah, yeah",joy,NULL,nosadness,nosadness
song5-27,"Yeah, yeah",joy,NULL,nosadness,nosadness
song5-28,"Oh, yeah",joy,NULL,nosadness,nosadness
song6-1,Back in black,joy,joy,nosadness,nosadness
song6-2,I hit the sack,joy,joy,nosadness,nosadness
song6-3,I've been too long I'm glad to be back,joy,joy,nosadness,nosadness
song6-4,"Yes I'm, let loose",joy,joy,nosadness,nosadness
song6-5,From the noose,joy,joy,nosadness,nosadness
song6-6,That's kept me hanging about,joy,joy,nosadness,nosadness
song6-7,I keep looking at the sky,trust,joy,nosadness,nosadness
song6-8,Cause it's gettin' me high,joy,joy,nosadness,nosadness
song6-9,Forget the herse 'cause I'll never die,trust,trust,nosadness,nosadness
song6-10,I got nine lives,trust,trust,nosadness,nosadness
song6-11,Cat's eyes,trust,trust,nosadness,nosadness
song6-12,Usin' every one of them and running wild,joy,trust,nosadness,nosadness
song6-13,Cause I'm back,joy,joy,nosadness,nosadness
song6-14,"Yes, I'm back",joy,joy,nosadness,nosadness
song6-15,"Well, I'm back",joy,joy,nosadness,nosadness
song6-16,"Yes, I'm back",joy,joy,nosadness,nosadness
song6-17,"Well, I'm back, back",joy,joy,nosadness,nosadness
song6-18,(Well) I'm back in black,joy,joy,nosadness,nosadness
song6-19,"Yes, I'm back in black",joy,joy,nosadness,nosadness
song6-20,Back in the back,joy,joy,nosadness,nosadness
song6-21,Of a Cadillac,joy,joy,nosadness,nosadness
song6-22,"Number one with a bullet, I'm a power pack",trust,joy,nosadness,nosadness
song6-23,"Yes, I'm in a bang",joy,joy,nosadness,nosadness
song6-24,With a gang,joy,joy,nosadness,nosadness
song6-25,They've got to catch me if they want me to hang,trust,trust,nosadness,nosadness
song6-26,Cause I'm back on the track,trust,trust,nosadness,nosadness
song6-27,And I'm leadin' the pack,trust,trust,nosadness,nosadness
song6-28,Nobody's gonna get me on another rap,trust,trust,nosadness,nosadness
song6-29,So look at me now,trust,trust,nosadness,nosadness
song6-30,I'm just makin' my play,trust,trust,nosadness,nosadness
song6-31,"Don't try to push your luck, just get out of my way",trust,trust,nosadness,nosadness
song6-32,Cause I'm back,joy,joy,nosadness,nosadness
song6-33,"Yes, I'm back",joy,joy,nosadness,nosadness
song6-34,"Well, I'm back",joy,joy,nosadness,nosadness
song6-35,"Yes, I'm back",joy,joy,nosadness,nosadness
song6-36,"Well, I'm back, back",joy,joy,nosadness,nosadness
song6-37,(Well) I'm back in black,joy,joy,nosadness,nosadness
song6-38,"Yes, I'm back in black",joy,joy,nosadness,nosadness
song6-39,"Well, I'm back, Yes I'm back",joy,joy,nosadness,nosadness
song6-40,"Well, I'm back, Yes I'm back",joy,joy,nosadness,nosadness
song6-41,"Well, I'm back, back",joy,joy,nosadness,nosadness
song6-42,Well I'm back in black,joy,joy,nosadness,nosadness
song6-43,Yes I'm back in black,joy,joy,nosadness,nosadness
song6-44,Hooo yeah,joy,joy,nosadness,nosadness
song6-45,Ohh yeah,joy,joy,nosadness,nosadness
song6-46,Yes I am,joy,joy,nosadness,nosadness
song6-47,"Oooh yeah, yeah Oh yeah",joy,joy,nosadness,nosadness
song6-48,Back in now,joy,joy,nosadness,nosadness
song6-49,"Well I'm back, I'm back",joy,joy,nosadness,nosadness
song6-50,"Back, I'm back",joy,joy,nosadness,nosadness
song6-51,"Back, I'm back",joy,joy,nosadness,nosadness
song6-52,"Back, I'm back",joy,joy,nosadness,nosadness
song6-53,"Back, I'm back",joy,joy,nosadness,nosadness
song6-54,Back,joy,joy,nosadness,nosadness
song6-55,Back in black,joy,joy,nosadness,nosadness
song6-56,Yes I'm back in black,joy,joy,nosadness,nosadness
song6-57,Outta sight,joy,joy,nosadness,nosadness
song7-1,She Was More Like A Beauty Queen From A Movie Scene,joy,surprise,nosadness,nosadness
song7-2,"I Said Don't Mind, But What Do You Mean I Am The One",joy,surprise,nosadness,nosadness
song7-3,Who Will Dance On The Floor In The Round,joy,surprise,nosadness,nosadness
song7-4,She Said I Am The One Who Will Dance On The Floor In The Round,joy,surprise,nosadness,nosadness
song7-5,"She Told Me Her Name Was Billie Jean, As She Caused A Scene",joy,surprise,nosadness,nosadness
song7-6,Then Every Head Turned With Eyes That Dreamed Of Being The One,joy,surprise,nosadness,nosadness
song7-7,Who Will Dance On The Floor In The Round,joy,anticipation,nosadness,nosadness
song7-8,People Always Told Me Be Careful Of What You Do,trust,fear,nosadness,nosadness
song7-9,And Don't Go Around Breaking Young Girls' Hearts,trust,fear,nosadness,nosadness
song7-10,And Mother Always Told Me Be Careful Of Who You Love,trust,fear,nosadness,nosadness
song7-11,And Be Careful Of What You Do 'Cause The Lie Becomes The Truth,trust,fear,nosadness,nosadness
song7-12,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-13,She's Just A Girl Who Claims That I Am The One,disgust,surprise,nosadness,nosadness
song7-14,But The Kid Is Not My Son,disgust,surprise,nosadness,nosadness
song7-15,"She Says I Am The One, But The Kid Is Not My Son",disgust,surprise,nosadness,nosadness
song7-16,For Forty Days And Forty Nights,anger,fear,nosadness,nosadness
song7-17,The Law Was On Her Side,anger,fear,nosadness,nosadness
song7-18,But Who Can Stand When She's In Demand,anger,disgust,nosadness,nosadness
song7-19,Her Schemes And Plans,anger,disgust,nosadness,nosadness
song7-20,Cause We Danced On The Floor In The Round,anger,joy,nosadness,nosadness
song7-21,"So Take My Strong Advice, Just Remember To Always Think Twice",trust,fear,nosadness,nosadness
song7-22,(Do Think Twice),trust,fear,nosadness,nosadness
song7-23,She Told My Baby That's A Threat,anger,fear,nosadness,nosadness
song7-24,As She Looked At Me,anger,fear,nosadness,nosadness
song7-25,Then Showed A Photo Of A Baby Cries,anger,fear,nosadness,nosadness
song7-26,Eyes Would Like Mine,anger,surprise,nosadness,nosadness
song7-27,"Go On Dance On The Floor In The Round, Baby",anger,surprise,nosadness,nosadness
song7-28,People Always Told Me Be Careful Of What You Do,trust,fear,nosadness,nosadness
song7-29,And Don't Go Around Breaking Young Girls' Hearts,trust,fear,nosadness,nosadness
song7-30,She Came And Stood Right By Me,joy,joy,nosadness,nosadness
song7-31,Then The Smell Of Sweet Perfume,joy,joy,nosadness,nosadness
song7-32,This Happened Much Too Soon,joy,surprise,nosadness,nosadness
song7-33,She Called Me To Her Room,joy,surprise,nosadness,nosadness
song7-34,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-35,She's Just A Girl Who Claims That I Am The One,disgust,surprise,nosadness,nosadness
song7-36,But The Kid Is Not My Son,disgust,surprise,nosadness,nosadness
song7-37,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-38,She's Just A Girl Who Claims That I Am The One,disgust,surprise,nosadness,nosadness
song7-39,But The Kid Is Not My Son,disgust,surprise,nosadness,nosadness
song7-40,"She Says I Am The One, But The Kid Is Not My Son",disgust,surprise,nosadness,nosadness
song7-41,"She Says I Am The One, But The Kid Is Not My Son",disgust,surprise,nosadness,nosadness
song7-42,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-43,She's Just A Girl Who Claims That I Am The One,disgust,surprise,nosadness,nosadness
song7-44,But The Kid Is Not My Son,disgust,surprise,nosadness,nosadness
song7-45,"She Says I Am The One, But The Kid Is Not My Son",disgust,surprise,nosadness,nosadness
song7-46,"She Says I Am The One, She Says He Is My Son",disgust,surprise,nosadness,nosadness
song7-47,She Says I Am The One,disgust,surprise,nosadness,nosadness
song7-48,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-49,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-50,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-51,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-52,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song7-53,Billie Jean Is Not My Lover,disgust,surprise,nosadness,nosadness
song8-1,Aah,null,NULL,nosadness,nosadness
song8-2,Buddy you're a boy make a big noise,joy,disgust,nosadness,nosadness
song8-3,Playin' in the street gonna be a big man some day,anticipation,disgust,nosadness,nosadness
song8-4,You got mud on yo' face,disgust,disgust,nosadness,nosadness
song8-5,You big disgrace,disgust,disgust,nosadness,nosadness
song8-6,Kickin' your can all over the place,disgust,disgust,nosadness,nosadness
song8-7,Singin',joy,trust,nosadness,nosadness
song8-8,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-9,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-10,Buddy you're a young man hard man,trust,disgust,nosadness,nosadness
song8-11,Shouting in the street gonna take on the world some day,anticipation,disgust,nosadness,nosadness
song8-12,You got blood on yo' face,disgust,disgust,nosadness,nosadness
song8-13,You big disgrace,disgust,disgust,nosadness,nosadness
song8-14,Wavin' your banner all over the place,disgust,disgust,nosadness,nosadness
song8-15,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-16,Sing it,joy,anticipation,nosadness,nosadness
song8-17,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-18,Buddy you're an old man poor man,sadness,disgust,sadness,nosadness
song8-19,Pleadin' with your eyes gonna make,sadness,disgust,sadness,nosadness
song8-20,You some peace some day,anticipation,disgust,nosadness,nosadness
song8-21,You got mud on your face,disgust,disgust,nosadness,nosadness
song8-22,Big disgrace,disgust,disgust,nosadness,nosadness
song8-23,Somebody betta put you back into your place,anger,disgust,nosadness,nosadness
song8-24,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-25,Sing it,joy,anticipation,nosadness,nosadness
song8-26,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-27,Everybody,joy,NULL,nosadness,nosadness
song8-28,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-29,We will we will rock you,joy,anticipation,nosadness,nosadness
song8-30,Alright,joy,NULL,nosadness,nosadness
song9-1,She's got a smile that it seems to me,joy,joy,nosadness,nosadness
song9-2,Reminds me of childhood memories,joy,joy,nosadness,nosadness
song9-3,Where everything,joy,joy,nosadness,nosadness
song9-4,Was as fresh as the bright blue sky,joy,joy,nosadness,nosadness
song9-5,Now and then when I see her face,joy,joy,nosadness,nosadness
song9-6,She takes me away to that,joy,joy,nosadness,nosadness
song9-7,special place,joy,joy,nosadness,nosadness
song9-8,And if I stared too long,sadness,sadness,sadness,sadness
song9-9,I'd probably break down and cry,sadness,sadness,sadness,sadness
song9-10,Sweet child o' mine,joy,joy,nosadness,nosadness
song9-11,Sweet love of mine,joy,joy,nosadness,nosadness
song9-12,She's got eyes of the bluest skies,joy,joy,nosadness,nosadness
song9-13,As if they thought of rain,joy,sadness,nosadness,sadness
song9-14,I hate to look into those eyes,sadness,sadness,sadness,sadness
song9-15,And see an ounce of pain,sadness,sadness,sadness,sadness
song9-16,Her hair reminds me,joy,joy,nosadness,nosadness
song9-17,of a warm safe place,joy,joy,nosadness,nosadness
song9-18,Where as a child I'd hide,joy,sadness,nosadness,sadness
song9-19,And pray for the thunder,trust,sadness,nosadness,sadness
song9-20,And the rain,trust,sadness,nosadness,sadness
song9-21,To quietly pass me by,trust,sadness,nosadness,sadness
song9-22,Sweet child o' mine,joy,joy,nosadness,nosadness
song9-23,Sweet love of mine,joy,joy,nosadness,nosadness
song9-24,Where do we go,anticipation,anticipation,nosadness,nosadness
song9-25,Where do we go now,anticipation,anticipation,nosadness,nosadness
song9-26,Where do we go,anticipation,anticipation,nosadness,nosadness
song9-27,Sweet child o' mine,joy,joy,nosadness,nosadness
song10-1,YOU,null,NULL,nosadness,nosadness
song10-2,YOU HAVE,null,NULL,nosadness,nosadness
song10-3,YOU GOT ME,null,NULL,nosadness,nosadness
song10-4,YOU ASKED ME,null,NULL,nosadness,nosadness
song10-5,YOU ASKED ME AND I DID NOT SAY ANYTHING,disgust,anticipation,nosadness,nosadness
song10-6,WILL YOU UNTIL DEATH DO YOU PART,disgust,anticipation,nosadness,nosadness
song10-7,BE FAITHFUL TO HER FOR ALL DAYS,disgust,anticipation,nosadness,nosadness
song10-8,NO,disgust,NULL,nosadness,nosadness
song10-9,"DO YOU WANT, UNTIL DEATH SEPARATES YOU",disgust,anticipation,nosadness,nosadness
